Modelo,Dia Prevista,Valor Previsto,Valor Realizado,MAPE (%)
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-28,2418.4,2631,8.08
Voting(ETR+RFR+XGB),2025-04-28,2387.8,2631,9.24
FEAT+ABR(3),2025-04-29,2391.5,2179,9.75
Pipeline em Produção,2025-04-29,2497.7,2179,7.34
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-29,2466.9,2179,13.21
Voting(ETR+RFR+XGB),2025-04-29,2632.3,2179,20.8
FEAT+ABR(3),2025-04-30,2384.1,2285,4.34
Pipeline em Produção,2025-04-30,2290.1,2285,12.51
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-04-30,2442.4,2285,6.89
Voting(ETR+RFR+XGB),2025-04-30,2196.7,2285,3.87
FEAT+ABR(3),2025-05-02,2547.3,1941,31.23
Pipeline em Produção,2025-05-02,2634.8,1941,6.84
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-02,2423.7,1941,24.87
Voting(ETR+RFR+XGB),2025-05-02,2486.0,1941,28.08
FEAT+ABR(3),2025-05-05,2494.6,2523,1.13
Pipeline em Produção,2025-05-05,2534.9,2523,13.19
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-05,2483.8,2523,1.55
Voting(ETR+RFR+XGB),2025-05-05,2561.1,2523,1.51
FEAT+ABR(3),2025-05-06,2454.6,2299,6.77
Pipeline em Produção,2025-05-06,2575.8,2299,1.21
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-06,2464.8,2299,7.21
Voting(ETR+RFR+XGB),2025-05-06,2341.4,2299,1.85
FEAT+ABR(3),2025-05-07,2269.7,1988,14.17
Pipeline em Produção,2025-05-07,2423.8,1988,2.65
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-07,2436.0,1988,22.53
Voting(ETR+RFR+XGB),2025-05-07,2201.8,1988,10.76
FEAT+ABR(3),2025-05-08,2452.5,2568,4.5
Pipeline em Produção,2025-05-08,2591.5,2568,20.4
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-08,2404.3,2568,6.37
Voting(ETR+RFR+XGB),2025-05-08,2527.8,2568,1.56
FEAT+ABR(3),2025-05-09,2407.4,2385,0.94
Pipeline em Produção,2025-05-09,2253.8,2385,2.22
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-09,2385.8,2385,0.03
Voting(ETR+RFR+XGB),2025-05-09,2236.4,2385,6.23
FEAT+ABR(3),2025-05-12,2588.9,2544,1.77
Pipeline em Produção,2025-05-12,2696.0,2544,4.46
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-12,2459.9,2544,3.31
Voting(ETR+RFR+XGB),2025-05-12,2737.5,2544,7.61
FEAT+ABR(3),2025-05-13,2531.2,2505,1.04
Pipeline em Produção,2025-05-13,2472.2,2505,3.5
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-13,2505.2,2505,0.01
Voting(ETR+RFR+XGB),2025-05-13,2431.9,2505,2.92
FEAT+ABR(3),2025-05-14,2507.2,2195,14.22
Pipeline em Produção,2025-05-14,2420.0,2195,4.03
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-14,2563.2,2195,16.77
Voting(ETR+RFR+XGB),2025-05-14,2400.9,2195,9.38
FEAT+ABR(3),2025-05-15,2484.5,2351,5.68
Pipeline em Produção,2025-05-15,2533.0,2351,10.98
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-15,2498.6,2351,6.28
Voting(ETR+RFR+XGB),2025-05-15,2448.1,2351,4.13
FEAT+ABR(3),2025-05-16,2381.5,2149,10.82
Pipeline em Produção,2025-05-16,2457.3,2149,7.55
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-16,2422.0,2149,12.71
Voting(ETR+RFR+XGB),2025-05-16,2326.3,2149,8.25
FEAT+ABR(3),2025-05-19,2527.6,2353,7.42
Pipeline em Produção,2025-05-19,2303.8,2353,25.92
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-19,2448.7,2353,4.07
Voting(ETR+RFR+XGB),2025-05-19,2543.5,2353,8.1
FEAT+ABR(3),2025-05-20,2400.2,2327,3.14
Pipeline em Produção,2025-05-20,2339.5,2327,1.63
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-20,2469.8,2327,6.13
Voting(ETR+RFR+XGB),2025-05-20,2334.7,2327,0.33
FEAT+ABR(3),2025-05-21,2257.1,2360,4.36
Pipeline em Produção,2025-05-21,2287.0,2360,4.89
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-21,2394.2,2360,1.45
Voting(ETR+RFR+XGB),2025-05-21,2092.5,2360,11.33
FEAT+ABR(3),2025-05-22,2261.6,1771,27.7
Pipeline em Produção,2025-05-22,2612.0,1771,2.5
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-22,2381.3,1771,34.46
Voting(ETR+RFR+XGB),2025-05-22,2279.1,1771,28.69
FEAT+ABR(3),2025-05-23,2289.2,2789,17.92
Pipeline em Produção,2025-05-23,2231.4,2789,35.65
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-23,2235.6,2789,19.84
Voting(ETR+RFR+XGB),2025-05-23,2416.6,2789,13.35
FEAT+ABR(3),2025-05-26,2536.2,2389,6.16
Pipeline em Produção,2025-05-26,2493.3,2389,14.22
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-26,2508.1,2389,4.98
Voting(ETR+RFR+XGB),2025-05-26,2488.6,2389,4.17
FEAT+ABR(3),2025-05-27,2207.8,2047,7.85
Pipeline em Produção,2025-05-27,2471.5,2047,2.64
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-27,2452.7,2047,19.82
Voting(ETR+RFR+XGB),2025-05-27,2142.8,2047,4.68
FEAT+ABR(3),2025-05-28,2259.7,1921,17.63
Pipeline em Produção,2025-05-28,2343.1,1921,3.18
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-28,2282.8,1921,18.84
Voting(ETR+RFR+XGB),2025-05-28,2425.7,1921,26.27
FEAT+ABR(3),2025-05-29,2179.0,1955,11.46
Pipeline em Produção,2025-05-29,2243.1,1955,30.81
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-29,2265.1,1955,15.86
Voting(ETR+RFR+XGB),2025-05-29,2447.7,1955,25.2
FEAT+ABR(3),2025-05-30,2313.8,1927,20.07
Pipeline em Produção,2025-05-30,2140.1,1927,28.87
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-05-30,2317.7,1927,20.28
Voting(ETR+RFR+XGB),2025-05-30,2442.1,1927,26.73
FEAT+ABR(3),2025-06-02,2529.6,1897,33.35
Pipeline em Produção,2025-06-02,2543.1,1897,25.33
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-02,2337.2,1897,23.2
Voting(ETR+RFR+XGB),2025-06-02,2375.2,1897,25.21
FEAT+ABR(3),2025-06-03,1974.9,1874,5.39
Pipeline em Produção,2025-06-03,2371.5,1874,18.39
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-03,2165.1,1874,15.53
Voting(ETR+RFR+XGB),2025-06-03,2197.3,1874,17.25
FEAT+ABR(3),2025-06-04,2011.2,1977,1.73
Pipeline em Produção,2025-06-04,2071.5,1977,18.69
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-04,2124.9,1977,7.48
Voting(ETR+RFR+XGB),2025-06-04,1953.5,1977,1.19
FEAT+ABR(3),2025-06-05,2331.4,2150,8.44
Pipeline em Produção,2025-06-05,2045.5,2150,11.46
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-05,2174.7,2150,1.15
Voting(ETR+RFR+XGB),2025-06-05,2127.0,2150,1.07
FEAT+ABR(3),2025-06-06,2059.6,2128,3.21
Pipeline em Produção,2025-06-06,2215.9,2128,2.07
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-06,2158.9,2128,1.45
Voting(ETR+RFR+XGB),2025-06-06,2052.8,2128,3.54
FEAT+ABR(3),2025-06-09,2239.2,2449,8.57
Pipeline em Produção,2025-06-09,2514.7,2449,2.14
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-09,2156.9,2449,11.93
Voting(ETR+RFR+XGB),2025-06-09,2101.6,2449,14.18
FEAT+ABR(3),2025-06-10,2347.3,2433,3.52
Pipeline em Produção,2025-06-10,2430.2,2433,3.62
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-10,2249.4,2433,7.55
Voting(ETR+RFR+XGB),2025-06-10,2258.8,2433,7.16
FEAT+ABR(3),2025-06-11,2386.6,2495,4.35
Pipeline em Produção,2025-06-11,2299.7,2495,3.5
SE(ETR)+MMS+BIN+SE(ELAS)+ABR,2025-06-11,2304.5,2495,7.63
Voting(ETR+RFR+XGB),2025-06-11,2284.4,2495,8.44
FEAT+ABR(3),2025-06-12,2518.4,2017,24.86
